Gene	Taxon	Plot	landuseCode	Elevation	variable	value
16S	All Prokaryotes	CM30c28-P	I	227	OTU richness	859
16S	All Prokaryotes	CM30c62-D	I	99	OTU richness	644
16S	All Prokaryotes	Plot07-M	I	420	OTU richness	1458
16S	All Prokaryotes	LB1-E	I	630	OTU richness	1870
16S	All Prokaryotes	Plot05-I	I	240	OTU richness	1271
16S	All Prokaryotes	CM30c39-E	I	290	OTU richness	1150
16S	All Prokaryotes	Plot01-L	I	50	OTU richness	1805
16S	All Prokaryotes	CM30c53-I	I	155	OTU richness	954
16S	All Prokaryotes	CM31a5-A	I	70	OTU richness	1502
16S	All Prokaryotes	CM30c46-D	I	319	OTU richness	1297
16S	All Prokaryotes	CM30c-O	I	283	OTU richness	1197
16S	All Prokaryotes	CM30c28-N	I	227	OTU richness	868
16S	All Prokaryotes	CM30d3-L	I	518	OTU richness	1351
16S	All Prokaryotes	CM30c44-B	I	110	OTU richness	1491
16S	All Prokaryotes	CM30c37-E	I	279	OTU richness	1335
16S	All Prokaryotes	CM30c62-M	I	99	OTU richness	827
16S	All Prokaryotes	CM30c37-L	I	279	OTU richness	1620
16S	All Prokaryotes	CM30c51-H	I	67	OTU richness	1496
16S	All Prokaryotes	Plot05-N	I	240	OTU richness	1137
16S	All Prokaryotes	CM30d12-H	I	371	OTU richness	1841
16S	All Prokaryotes	Plot03-N	I	160	OTU richness	919
16S	All Prokaryotes	CM30c46-O	I	319	OTU richness	1032
16S	All Prokaryotes	CM30b58-C	I	9	OTU richness	1932
16S	All Prokaryotes	CM30b60-E	I	400	OTU richness	2487
16S	All Prokaryotes	CM30c-P	I	283	OTU richness	1532
16S	All Prokaryotes	Plot04-A	I	260	OTU richness	2265
16S	All Prokaryotes	CM30c39-A	I	290	OTU richness	2007
16S	All Prokaryotes	CM30c60-B	I	51	OTU richness	707
16S	All Prokaryotes	Plot01-B	I	50	OTU richness	1206
16S	All Prokaryotes	CM30b51-M	I	174.627853	OTU richness	1487
16S	All Prokaryotes	CM30d12-L	I	371	OTU richness	1378
16S	All Prokaryotes	Plot08-I	I	460	OTU richness	1174
16S	All Prokaryotes	CM30c44-C	I	110	OTU richness	1317
16S	All Prokaryotes	Plot04-N	I	260	OTU richness	2656
16S	All Prokaryotes	LB5-I	I	634	OTU richness	2114
16S	All Prokaryotes	CM30d3-D	I	518	OTU richness	1806
16S	All Prokaryotes	CM30b58-I	I	9	OTU richness	1490
16S	All Prokaryotes	LB1-A	I	630	OTU richness	1156
16S	All Prokaryotes	LB5-A	I	634	OTU richness	1313
